Dates	Time	Flow	pTHg
10d	8s	6n	6n
2016-12-11	15:00	422	40
2016-12-16	12:40	3149	235
2016-12-17	11:40	780	42
2017-01-04	16:40	2125	168
2017-01-08	14:30	3804	295
2017-01-09	13:30	12186	569
2017-01-11	12:00	15909	593
2017-01-14	12:10	3549	673
2017-01-19	12:30	8944	499
2017-01-20	13:30	6681	350
2017-01-21	11:40	6705	367
2017-01-24	11:00	4889	308
2017-02-02	10:30	3191	100
2017-02-08	10:30	8559	426
2017-02-10	11:10	10802	354
2017-02-21	11:00	14070	538
2017-03-16	10:50	3001	76
2017-04-04	10:30	553	64
2017-04-26	10:30	358	27
