Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2015-12-19	13:50	18	0.05
2015-12-22	12:52	252	0.70
2015-12-23	12:40	179	0.30
2016-01-05	21:00	451	0.30
2016-01-06	15:10	450	0.35
2016-01-07	9:00	448	0.52
2016-01-08	10:50	171	0.05
2016-01-13	9:50	103	0.05
2016-01-17	23:00	633	0.29
2016-01-18	10:50	1446	1.19
2016-01-19	16:45	1507	1.20
2016-01-20	14:40	615	0.23
2016-02-18	8:30	81	0.05
2016-03-06	7:05	3225	8.90
2016-03-07	6:20	6257	13.26
2016-03-11	14:03	3772	0.82
2016-03-17	12:20	3022	0.47
2016-04-07	12:10	361	0.40
2016-11-20	12:30	107	0.13
2016-12-10	22:50	796	2.14
2016-12-15	21:00	4604	6.06
2016-12-16	9:20	1794	0.90
2017-01-04	9:00	1947	1.10
2017-01-08	12:05	15813	5.87
2017-01-09	9:30	3736	1.22
2017-01-10	20:37	16154	2.58
2017-01-11	12:20	6933	0.74
2017-01-14	13:00	3260	0.38
2017-01-18	22:20	7610	1.19
2017-01-19	5:55	8329	1.44
2017-01-20	13:00	9655	1.20
2017-01-22	11:17	12549	1.87
2017-01-25	13:30	4288	0.24
2017-02-07	12:10	16624	2.60
2017-02-09	21:50	12016	1.08
2017-02-20	16:00	11132	1.03
2017-03-15	14:40	3143	0.19
2017-04-03	15:00	715	0.12
2017-04-25	11:30	419	0.18
2017-05-15	12:00	509	0.22
