Dates	Time	Flow	pTHg
10d	8s	6n	6n
2015-12-19	13:50	18	7.9
2015-12-22	12:52	252	67.1
2015-12-23	12:40	179	35.0
2016-01-05	21:00	451	32.6
2016-01-06	15:10	450	153
2016-01-07	9:00	448	190
2016-01-08	10:50	171	20.2
2016-01-13	9:50	103	3.5
2016-01-17	23:00	633	56.8
2016-01-18	10:50	1446	281
2016-01-19	16:45	1507	165
2016-01-20	14:40	615	43.6
2016-02-18	8:30	81	1.6
2016-03-06	7:05	3225	2078
2016-03-07	6:20	6257	1734
2016-03-11	14:03	3772	234
2016-03-17	12:20	3022	74.1
2016-04-07	12:10	361	3.4
2016-11-20	12:30	107	2.9
2016-12-10	22:50	796	323
2016-12-15	21:00	4604	595
2016-12-16	9:20	1794	131
2017-01-04	9:00	1947	209
2017-01-08	12:05	15813	1413
2017-01-09	9:30	3736	330
2017-01-10	20:37	16154	1113
2017-01-11	12:20	6933	216
2017-01-14	13:00	3260	74.4
2017-01-18	22:20	7610	426
2017-01-19	5:55	8329	619
2017-01-20	13:00	9655	1452
2017-01-22	11:17	12549	831
2017-01-25	13:30	4288	52.0
2017-02-07	12:10	16624	1356
2017-02-09	21:50	12016	734
2017-02-20	16:00	11132	827
2017-03-15	14:40	3143	14.7
2017-04-03	15:00	715	3.2
2017-04-25	11:30	419	5.2
2017-05-15	12:00	509	3.0
2018-01-08	21:10	57.2	4.1
2018-01-09	11:00	180	3.9
2018-01-10	8:20	152	3.7
2018-01-24	23:20	60.0	5.0
2018-01-25	19:40	135	3.6
2018-01-26	8:30	105	4.5
2018-02-12	11:30	26.3	1.7
2018-03-02	10:00	116	3.1
2018-03-07	11:30	38.2	2.3
2018-03-22	12:45	801	221
2018-04-07	8:37	909	78.4
2018-05-11	11:30	697	11.1
