Dates	Flow	pMeHg
10d	6n	6n
2010-01-21	7215	1.28
2010-02-17	346	0.57
2010-03-09	377	0.20
2010-04-06	314	0.24
2010-05-04	435	0.31
2010-06-01	17	0.86
2010-12-30	892	0.84
2011-01-04	843	0.28
2011-01-26	51.5	0.437
2011-02-03	114	1.33
2011-02-17	353	0.91
2011-02-18	464	0.73
2011-02-28	551.7	0.37
2011-03-15	1567	0.07
2011-03-17	2432	0.43
2011-03-19	4769	1.95
2011-03-21	12001	1.68
2011-03-22	6704	0.70
2011-03-25	9847	2.06
2011-04-04	467	0.36
2011-04-26	133	1.978195489
2012-03-16	191	0.21
2012-03-17	173	0.17
2012-03-18	166	0.20
2012-03-20	155	0.11
2012-03-28	180	0.11
2012-03-29	156	0.57
2012-04-04	312	0.24
2012-04-13	207	0.21
2012-12-02	312	0.61
2012-12-03	1982	2.26
2012-12-05	616	0.25
2012-12-22	184	0.77
2012-12-23	2350	0.55
2012-12-27	1448	0.19
2013-01-16	190	0.31
2013-02-04	170	1.143
2013-02-21	71.4	0.39
2013-04-01	19.7	0.64
2014-12-20	1298.35	0.12
2015-01-16	28.3	0.35
2015-01-29	104	2.95
2015-02-08	544	0.56
2015-02-09	724	0.34
2015-02-10	1883	0.19
2016-01-20	80.5	0.25
2016-01-24	82.7	0.06
2016-02-02	503	0.25
2016-02-03	455	0.3685
2016-02-04	349	0.83
2016-03-07	535	0.50
2016-03-08	557	0.64
2016-03-09	783	0.18
2016-03-10	738	0.12
2016-03-12	4185	0.43
2016-03-13	3530	0.2715
2016-03-14	3610	0.30
2016-03-15	2870	0.16
2016-03-17	2660	0.28
2016-04-06	470	0.51
2016-12-15	2.25	0.11
2016-12-16	18.4	0.52
2016-12-17	432	0.75
2017-01-09	13400.75	2.22
2017-01-10	3990.75	0.86
2017-01-11	10400.75	1.57
2017-02-01	3030.73	0.19
2017-02-08	14100.73	0.8355
2017-02-10	10400.72	0.91
2017-02-21	11500.71	1.12
2017-03-16	2866	0.144
2017-04-04	268	0.28
2017-04-26	224	0.3215
2018-03-22	47.1	0.13
2018-04-08	219	0.27
2019-01-30	560	0.25
2019-02-05	1611	0.58
2019-02-14	12719	1.62
2019-02-27	13023	1.96
2019-02-28	17347	1.09
2019-03-01	8281	0.43
2019-03-05	5567	0.305
2019-03-07	10261	0.54
2019-03-28	4668	0.30
2019-04-17	948	0.11
